image_side,num_timesteps,max_think_token_n,t_think_mean,t_think_std,t_image_mean,t_image_std,ratio_mean,fraction_think_mean,think_token_count_mean,image_token_count,hit_cap_rate,think_closed_rate,n
1024,50,1000,9.024419803638011,0.7870300903547154,26.55300904577598,0.2916982892782147,0.3399183685380493,0.2533169020304548,162.25,4096,0.0,1.0,32
1024,50,256,9.00457070954144,0.8321592399123185,26.561075240606442,0.34453916544567087,0.33918665451741326,0.2528378634138976,162.25,4096,0.0,1.0,32
1024,50,128,7.08506666845642,0.06949765740904436,26.49845874053426,0.35206761792134866,0.26743786592304547,0.21099329882825438,127.0,4096,1.0,0.0,32
1024,50,64,3.5268984145950526,0.028716705377754222,26.42591089499183,0.3144356211308339,0.1334893834988002,0.11776471076661968,63.0,4096,1.0,0.0,32
1024,50,32,1.7596882209181786,0.020514532832078835,26.525471926666796,0.32292455087804756,0.06635400193892547,0.06222357939547331,31.0,4096,1.0,0.0,32
1024,10,1000,9.00627105217427,0.7920957338930367,5.150255792308599,0.11505439484484505,1.7501884493479116,0.6350572368040796,162.25,4096,0.0,1.0,32
1024,10,256,9.027552001876757,0.8115559605717023,5.1231246474199,0.07066719554899348,1.7629620130046604,0.6367569820173196,162.25,4096,0.0,1.0,32
1024,10,128,7.048252744600177,0.06653359459269897,5.109207132365555,0.07672293772481643,1.3798779195096502,0.5797556828445836,127.0,4096,1.0,0.0,32
1024,10,64,3.51906422059983,0.024813165886507726,5.13226366834715,0.0921175757769026,0.685909213305995,0.40680670496656796,63.0,4096,1.0,0.0,32
1024,10,32,1.7586383891757578,0.020900467036599674,5.1290225512348115,0.08161884213276462,0.3429985433369066,0.2553692432226287,31.0,4096,1.0,0.0,32
1024,5,1000,9.007248863345012,0.8084160622357368,2.466321179876104,0.06171548675871067,3.6537829662132717,0.7839890144024824,162.25,4096,0.0,1.0,32
1024,5,256,9.0143276383169,0.7984055401975155,2.456372323445976,0.047432309706386094,3.6699966866214324,0.7848413512377173,162.25,4096,0.0,1.0,32
1024,5,128,7.0696717167738825,0.04546446929446092,2.4554175711236894,0.058857254858707124,2.8808859707486807,0.7422332948592112,127.0,4096,1.0,0.0,32
1024,5,64,3.515594908501953,0.0355012758880269,2.448382247472182,0.054370367701976556,1.4367123641732489,0.5894994043019973,63.0,4096,1.0,0.0,32
1024,5,32,1.7609007782302797,0.015919164046555877,2.4424729836173356,0.04714594536817467,0.7212378238998398,0.4189695871025584,31.0,4096,1.0,0.0,32
768,50,1000,9.002276642713696,0.8144598634230776,14.747488618828356,0.1725781452193486,0.6106549881982248,0.3783572433757902,162.25,2304,0.0,1.0,32
768,50,256,9.008117962628603,0.8135393214390877,14.763427688274533,0.1733194345787154,0.6103215432272987,0.3782530760897474,162.25,2304,0.0,1.0,32
768,50,128,7.061185607453808,0.06371727563797197,14.833723591407761,0.2788758219618965,0.47619234377661396,0.32254929753505296,127.0,2304,1.0,0.0,32
768,50,64,3.524032873334363,0.039914625230806355,14.752537619555369,0.1998352220182372,0.23892460809584606,0.19283784648308097,63.0,2304,1.0,0.0,32
768,50,32,1.7640866874717176,0.014723648695616955,14.713113614358008,0.14593473314103872,0.11991394829515677,0.10707196658253287,31.0,2304,1.0,0.0,32
768,10,1000,9.009674879256636,0.8155147595403918,2.8525891732424498,0.05016589641150068,3.15998289911348,0.7583582886416371,162.25,2304,0.0,1.0,32
768,10,256,9.008547504199669,0.7972679041639242,2.8697135569527745,0.07959025664090175,3.1424112070409556,0.7573030685425802,162.25,2304,0.0,1.0,32
768,10,128,7.081234908662736,0.05200171495997725,2.8505664872936904,0.0471160739861043,2.4849650851328735,0.7129878809364663,127.0,2304,1.0,0.0,32
768,10,64,3.5330389335285872,0.03322308385852038,2.855092006502673,0.048813560380645736,1.2378037968256468,0.5530822663412445,63.0,2304,1.0,0.0,32
768,10,32,1.7610420603305101,0.018700049723155567,2.8401891097892076,0.02963068420846291,0.620134109224381,0.38274054720316547,31.0,2304,1.0,0.0,32
768,5,1000,9.033053993014619,0.7897691786586031,1.37183560221456,0.04775482802470558,6.5887778474289975,0.8674440187877049,162.25,2304,0.0,1.0,32
768,5,256,8.990788695169613,0.8057565633560306,1.3793003703467548,0.043023629129983254,6.522946835021169,0.8662076853733673,162.25,2304,0.0,1.0,32
768,5,128,7.04619804979302,0.058797215214062865,1.3711900033522397,0.035245615493052725,5.142263035457098,0.8370993244618257,127.0,2304,1.0,0.0,32
768,5,64,3.526071287924424,0.03587519852937342,1.3692547963000834,0.03954465611758892,2.577394387516306,0.7203151882885016,63.0,2304,1.0,0.0,32
768,5,32,1.7601149308029562,0.01732024367769523,1.3605641738977283,0.038001495349547304,1.2945462094514293,0.5640814523781419,31.0,2304,1.0,0.0,32
512,50,1000,9.017456704983488,0.7737485737848612,8.777840161928907,0.1792093008138971,1.0274522727984918,0.5058480433391968,162.25,1024,0.0,1.0,32
512,50,256,9.003034652210772,0.8138091268538397,8.77763745188713,0.2494414896220283,1.0269820406318044,0.505404534866673,162.25,1024,0.0,1.0,32
512,50,128,7.063123426632956,0.07372133603199953,8.763715930748731,0.21515770977278323,0.8063780302353348,0.44633941250114895,127.0,1024,1.0,0.0,32
512,50,64,3.5226062785368413,0.03223225242479997,8.722590004559606,0.1524529605964614,0.4039862416824948,0.28771478492509084,63.0,1024,1.0,0.0,32
512,50,32,1.759587756358087,0.02232698632091623,8.7515039362479,0.20619302783511614,0.2011789578676022,0.16746633051125415,31.0,1024,1.0,0.0,32
512,10,1000,8.999134447891265,0.8081178371975857,1.6747493369039148,0.0525607681010215,5.375676595864942,0.8422429876033022,162.25,1024,0.0,1.0,32
512,10,256,9.030237824423239,0.7930743376095958,1.6667368283960968,0.05817646883623065,5.425926014897163,0.8432814670227478,162.25,1024,0.0,1.0,32
512,10,128,7.058787572896108,0.058428673043387114,1.656798018142581,0.024531849844823938,4.261337476014849,0.8099029576457517,127.0,1024,1.0,0.0,32
512,10,64,3.521273266291246,0.03821163053303267,1.6604247957002372,0.030686825884582734,2.1214042417930123,0.6795651534216072,63.0,1024,1.0,0.0,32
512,10,32,1.7681988619733602,0.02563258947460507,1.668177941814065,0.04456695158411449,1.0605891263024285,0.5146093576879157,31.0,1024,1.0,0.0,32
512,5,1000,9.004803915508091,0.8389211869252299,0.7871133072767407,0.03329237551368731,11.465314497082034,0.918991703412298,162.25,1024,0.0,1.0,32
512,5,256,9.030286511639133,0.8269236446570988,0.7846171287819743,0.03144619210652845,11.517124689706744,0.9195362534934465,162.25,1024,0.0,1.0,32
512,5,128,7.059938459889963,0.0628505028215842,0.788391656242311,0.03317092461693184,8.968545659392934,0.8995581348917175,127.0,1024,1.0,0.0,32
512,5,64,3.5209233618807048,0.03159988801575976,0.7801287211477757,0.01848790125673767,4.515464669878582,0.8186275975917557,63.0,1024,1.0,0.0,32
512,5,32,1.7625337415374815,0.018776153852497878,0.7842810789588839,0.020732815803854332,2.2488058782129943,0.6920816358936193,31.0,1024,1.0,0.0,32
256,50,1000,8.975186490220949,0.7781242381826736,5.814133394509554,0.03331658721654266,1.5437548385310662,0.6057746788470816,162.25,256,0.0,1.0,32
256,50,256,9.02154479548335,0.7909900916319162,5.829275457421318,0.033666081394197044,1.5477156479036478,0.6063600967512025,162.25,256,0.0,1.0,32
256,50,128,7.060095803812146,0.043160209678580426,5.845424630213529,0.08816736635444254,1.2080449087973977,0.5470794002314198,127.0,256,1.0,0.0,32
256,50,64,3.511034754337743,0.032032396513915595,5.815580469323322,0.043344533618273576,0.6037271865748388,0.3764507064460432,63.0,256,1.0,0.0,32
256,50,32,1.7646361931692809,0.016877865795203166,5.83710552775301,0.038888666033335885,0.3023110067934587,0.23213308527493567,31.0,256,1.0,0.0,32
256,10,1000,8.999003840377554,0.8130259077002906,1.0840177715290338,0.009040540502452366,8.300868665823725,0.8917857485964037,162.25,256,0.0,1.0,32
256,10,256,9.021107412176207,0.7943611141665463,1.0846799111459404,0.008939611807095986,8.316636254283864,0.8919905325424904,162.25,256,0.0,1.0,32
256,10,128,7.059767847880721,0.06607818047751181,1.0853689406067133,0.008305972016334845,6.504546133591488,0.8667427713256182,127.0,256,1.0,0.0,32
256,10,64,3.52267325646244,0.035665513480526906,1.0848552673123777,0.008480360085708922,3.2471095950971818,0.7645425080089917,63.0,256,1.0,0.0,32
256,10,32,1.7656029565259814,0.015923251097273466,1.0868119695223868,0.007750259558299897,1.624562853891912,0.6189812924687778,31.0,256,1.0,0.0,32
256,5,1000,9.036945901578292,0.776835079400184,0.4932519281283021,0.006045750945137693,18.331505309650726,0.947866482974139,162.25,256,0.0,1.0,32
256,5,256,9.040837647626176,0.8102667816758684,0.4927137910854071,0.004562659341863801,18.348703387086097,0.9479400333666422,162.25,256,0.0,1.0,32
256,5,128,7.059123905142769,0.05231077148218456,0.4932694111485034,0.010403117067404684,14.316305838347061,0.9346867532605193,127.0,256,1.0,0.0,32
256,5,64,3.531102265464142,0.03943120834274619,0.4919985984452069,0.003929995362943422,7.176952030215553,0.8777022016377294,63.0,256,1.0,0.0,32
256,5,32,1.7587985519785434,0.021898634490008784,0.4943164843134582,0.01299673750767167,3.5598087460298165,0.7806231038098062,31.0,256,1.0,0.0,32
